manufacturer,device,section,parameter_name,parameter_description,cc_msb,cc_lsb,cc_min_value,cc_max_value,cc_default_value,nrpn_msb,nrpn_lsb,nrpn_min_value,nrpn_max_value,nrpn_default_value,orientation,notes,usage
Sonicware,deconstruct MINIMAL,Bass,Filter cutoff,Adjusts the filter cutoff frequency,33,,0,127,,,,,,,0-based,Bass track (Track 11) only,
Sonicware,deconstruct MINIMAL,Bass,Filter resonance,Adjusts the amount of filter resonance,34,,0,127,,,,,,,0-based,Bass track (Track 11) only,
Sonicware,deconstruct MINIMAL,Bass,Filter envelope depth,Adjusts the amount of filter envelope modulation,35,,0,127,,,,,,,0-based,Bass track (Track 11) only,
Sonicware,deconstruct MINIMAL,Bass,Filter envelope decay,Adjusts the filter envelope decay time,36,,0,127,,,,,,,0-based,Bass track (Track 11) only,
Sonicware,deconstruct MINIMAL,Bass,Accent,Adjusts the accent amount of the bass track,37,,0,127,,,,,,,0-based,Bass track (Track 11) only,
Sonicware,deconstruct MINIMAL,Bass,Drive,Adjusts the bass drive amount. Only active when overdrive is enabled.,38,,0,127,,,,,,,0-based,Bass track (Track 11) only. Drive is only active when BS DRV is on,
Sonicware,deconstruct MINIMAL,Bass,Level,Adjusts the bass track level,39,,0,127,,,,,,,0-based,Bass track (Track 11) only,
Sonicware,deconstruct MINIMAL,Bass,Drive bypass,Toggles bass overdrive on or off,40,,0,127,,,,,,,0-based,Bass track (Track 11) only,
Sonicware,deconstruct MINIMAL,Bass,Glide curve,Adjusts the glide curve shape. At 0 the curve is downward (exponential). Higher values produce a more linear curve.,41,,0,127,,,,,,,0-based,Bass track (Track 11) only,
Sonicware,deconstruct MINIMAL,Track,Octave,Shifts the keyboard octave range up to plus or minus 3 octaves,42,,0,127,,,,,,,0-based,Applies to all track channels,
Sonicware,deconstruct MINIMAL,Track,Swing,Adjusts the swing amount from 50 to 75 percent,43,,0,127,,,,,,,0-based,Applies to all track channels,
Sonicware,deconstruct MINIMAL,Track,Swing resolution,Sets the swing resolution to 8th or 16th notes,44,,0,127,,,,,,,0-based,Applies to all track channels,
Sonicware,deconstruct MINIMAL,Pattern,Isolator low,3-band isolator low band (20-400 Hz). Cuts or boosts from -infinity to +6 dB.,51,,0,127,,,,,,,centered,Manual states range as -50 to 0 to +50. Resets to 0 at startup and is not saved with patterns,
Sonicware,deconstruct MINIMAL,Pattern,Isolator mid,3-band isolator mid band (400-1500 Hz). Cuts or boosts from -infinity to +6 dB.,52,,0,127,,,,,,,centered,Manual states range as -50 to 0 to +50. Resets to 0 at startup and is not saved with patterns,
Sonicware,deconstruct MINIMAL,Pattern,Isolator high,3-band isolator high band (1500-20000 Hz). Cuts or boosts from -infinity to +6 dB.,53,,0,127,,,,,,,centered,Manual states range as -50 to 0 to +50. Resets to 0 at startup and is not saved with patterns,
Sonicware,deconstruct MINIMAL,Pattern,Reverb type,Selects the reverb type,54,,0,127,,,,,,,0-based,Pattern channel only,
Sonicware,deconstruct MINIMAL,Pattern,Reverb,Adjusts the reverb mix level. At 0 the reverb is muted.,55,,0,127,,,,,,,0-based,Pattern channel only,
Sonicware,deconstruct MINIMAL,Pattern,Delay mix,Adjusts the delay mix level. At 0 the delay is muted.,56,,0,127,,,,,,,0-based,Pattern channel only,
Sonicware,deconstruct MINIMAL,Pattern,Delay time,Adjusts the delay time,57,,0,127,,,,,,,0-based,Pattern channel only,
Sonicware,deconstruct MINIMAL,Pattern,Delay feedback,Adjusts the delay feedback amount,58,,0,127,,,,,,,0-based,Pattern channel only,
Sonicware,deconstruct MINIMAL,Pattern,Delay ping pong,Toggles delay ping-pong mode on or off,59,,0,127,,,,,,,0-based,Pattern channel only,
Sonicware,deconstruct MINIMAL,Pattern,Delay sync,Toggles delay tempo sync on or off,60,,0,127,,,,,,,0-based,Pattern channel only,
Sonicware,deconstruct MINIMAL,Pattern,Delay to reverb,Send level from delay output to reverb,61,,0,127,,,,,,,0-based,Pattern channel only,
Sonicware,deconstruct MINIMAL,Pattern,Master effect bypass,Toggles the master effect on or off. On/off state is not saved.,62,,0,127,,,,,,,0-based,Pattern channel only,
Sonicware,deconstruct MINIMAL,Pattern,Master effect type,Selects the master effect type. Type and parameter are saved globally.,63,,0,127,,,,,,,0-based,Pattern channel only,
Sonicware,deconstruct MINIMAL,Pattern,Master effect parameter,Adjusts the master effect parameter. Function varies by effect type.,64,,0,127,,,,,,,0-based,Pattern channel only,
Sonicware,deconstruct MINIMAL,Pattern,Pattern swing,Adjusts the pattern-level swing amount from 50 to 75 percent,65,,0,127,,,,,,,0-based,Pattern channel only,
Sonicware,deconstruct MINIMAL,Pattern,Pattern swing resolution,Sets the pattern-level swing resolution to 8th or 16th notes,66,,0,127,,,,,,,0-based,Pattern channel only,
Sonicware,deconstruct MINIMAL,Pattern,Feel,Selects the analog feel type that simulates vintage drum machine rhythmic fluctuations,67,,0,127,,,,,,,0-based,Pattern channel only,
Sonicware,deconstruct MINIMAL,Pattern,Pattern level,Adjusts the overall pattern volume from -infinity to +6 dB,68,,0,127,,,,,,,0-based,Pattern channel only,
